From,RelationType,To
"UnitView",usa,"IndicatorEntry"
"UnitView",usa,"IndicatorType"
"UnitView",usa,"UnitSpecialization"
"IUnitState",usa,"UnitController"
"TriggerCorregir",usa,"RedesSceneCreator"
"Physics2DMigrator",usa,"AssetDatabase"
"Physics2DMigrator",usa,"EditorApplication"
"HierarchyToClipboardMenu",usa,"EditorUtility"
"HierarchyToClipboardMenu",usa,"SerializedProperty"
"CreateTestSceneMenu",usa,"GameManager"
"CreateTestSceneMenu",usa,"DebugLogger"
"CreateTestSceneMenu",usa,"GameLoopReferee"
"CreateTestSceneMenu",usa,"BulletPool"
"CreateTestSceneMenu",usa,"AssetDatabase"
"CreateTestSceneMenu",usa,"Bullet"
"CreateTestSceneMenu",usa,"PlayerModel"
"CreateTestSceneMenu",usa,"PlayerView"
"CreateTestSceneMenu",usa,"PlayerController"
"CreateTestSceneMenu",usa,"Weapon"
"CreateTestSceneMenu",usa,"SimpleEnemyAI"
"CreateScenesAndPrefabsMenu",usa,"AssetDatabase"
"CreateScenesAndPrefabsMenu",usa,"Bullet"
"CreateScenesAndPrefabsMenu",usa,"PlayerModel"
"CreateScenesAndPrefabsMenu",usa,"PlayerView"
"CreateScenesAndPrefabsMenu",usa,"PlayerController"
"CreateScenesAndPrefabsMenu",usa,"SimpleAnimator"
"CreateScenesAndPrefabsMenu",usa,"FloatingHealthBar"
"CreateScenesAndPrefabsMenu",usa,"Weapon"
"CreateScenesAndPrefabsMenu",usa,"GameManager"
"CreateScenesAndPrefabsMenu",usa,"DebugLogger"
"CreateScenesAndPrefabsMenu",usa,"GameLoopReferee"
"CreateScenesAndPrefabsMenu",usa,"BulletPool"
"CreateScenesAndPrefabsMenu",usa,"EffectPool"
"CreateScenesAndPrefabsMenu",usa,"ScreenManager"
"CreateScenesAndPrefabsMenu",usa,"SerializedProperty"
"ComponentPropertiesCopierTestMenu",usa,"ComponentPropertiesCopier"
"ComponentPropertiesCopier",usa,"SerializedProperty"
"FloatingHealthBar",hereda,"MonoBehaviour"
"FloatingHealthBar",usa,"PlayerModel"
"EffectPool",hereda,"MonoBehaviour"
"EffectPool",usa,"ImpactEffect"
"EffectPool",usa,"ProceduralAudioGenerator"
"LogEntry",usa,"LogCategory"
"DebugLogger",hereda,"MonoBehaviour"
"DebugLogger",usa,"LogEntry"
"DebugLogger",usa,"LogCategory"
"DebugLogger",usa,"EventBus"
"BulletPool",hereda,"MonoBehaviour"
"BulletPool",usa,"Bullet"
"Bullet",hereda,"MonoBehaviour"
"Bullet",usa,"EventBus"
"Bullet",usa,"PlayerModel"
"Bullet",usa,"EffectPool"
"Bullet",usa,"BulletPool"
"IDetectable",usa,"DetectableType"
"DetectableEntity",hereda,"MonoBehaviour"
"DetectableEntity",implementa,"IDetectable"
"DetectableEntity",usa,"DetectableType"
"SquadEventBus",usa,"UnitController"
"WeaponControllerMVC",usa,"WeaponModel"
"WeaponControllerMVC",usa,"WeaponView"
"WeaponControllerMVC",usa,"IWeaponInput"
"UnityWeaponInput",implementa,"IWeaponInput"
"UnityCharacterInput",implementa,"ICharacterInput"
"FusionNetworkObjectStatistics",hereda,"MonoBehaviour"
"FusionNetworkObjectStatistics",usa,"FusionStatistics"
"RunnerVisibilityLinksRoot",hereda,"MonoBehaviour"
"RunnerVisibilityLink",hereda,"MonoBehaviour"
"RunnerVisibilityLink",usa,"PreferredRunners"
"RunnerVisibilityLink",usa,"ComponentType"
"RunnerVisibilityLink",usa,"NetworkRunnerVisibilityExtensions"
"RunnerLagCompensationGizmos",hereda,"Behaviour"
"RunnerEnableVisibility",hereda,"Behaviour"
"RunnerEnableVisibility",implementa,"INetworkRunnerCallbacks"
"RunnerAOIGizmos",hereda,"SimulationBehaviour"
"EnableOnSingleRunner",hereda,"Behaviour"
"EnableOnSingleRunner",usa,"RunnerVisibilityLink"
"EnableOnSingleRunner",usa,"PreferredRunners"
"NetworkSceneManagerDefault",hereda,"Behaviour"
"NetworkSceneManagerDefault",implementa,"INetworkSceneManager"
"NetworkSceneManagerDefault",usa,"FusionUnitySceneManagerUtils"
"NetworkSceneManagerDefault",usa,"SceneEqualityComparer"
"NetworkSceneManagerDefault",usa,"MultiPeerSceneRoot"
"NetworkSceneManagerDefault",usa,"FusionCoroutine"
"NetworkSceneManagerDefault",usa,"LoadingScope"
"MultiPeerSceneRoot",hereda,"MonoBehaviour"
"LoadingScope",implementa,"IDisposable"
"LoadingScope",usa,"NetworkSceneManagerDefault"
"NetworkObjectProviderDefault",hereda,"Behaviour"
"NetworkObjectProviderDefault",implementa,"INetworkObjectProvider"
"NetworkCCData",implementa,"INetworkStruct"
"NetworkCharacterController",hereda,"NetworkTRSP"
"NetworkCharacterController",implementa,"INetworkTRSPTeleport"
"NetworkCharacterController",implementa,"IBeforeAllTicks"
"NetworkCharacterController",implementa,"IAfterAllTicks"
"NetworkCharacterController",implementa,"IBeforeCopyPreviousState"
"NetworkCharacterController",usa,"NetworkCCData"
"FusionBootstrapDebugGUI",hereda,"Behaviour"
"FusionBootstrapDebugGUI",usa,"FusionBootstrap"
"FusionBootstrapDebugGUI",usa,"Stage"
"FusionBootstrapDebugGUI",usa,"FusionScalableIMGUI"
"FusionBootstrap",hereda,"Behaviour"
"FusionBootstrap",usa,"FusionMppmCommand"
"FusionBootstrap",usa,"StartCommand"
"FusionBootstrap",usa,"StartModes"
"FusionBootstrap",usa,"Stage"
"FusionBootstrap",usa,"State"
"FusionBootstrap",usa,"FusionBootstrapDebugGUI"
"FusionBootstrap",usa,"FusionMppm"
"FusionBootstrap",usa,"FusionMppmStatus"
"FusionBootstrap",usa,"NetworkSceneManagerDefault"
"FusionBootstrap",usa,"NetworkObjectProviderDefault"
"StartCommand",hereda,"FusionMppmCommand"
"FusionBasicBillboard",hereda,"Behaviour"
"FusionAddressablePrefabsPreloader",hereda,"MonoBehaviour"
"GlobalLogicTests",usa,"DebugLogger"
"GlobalLogicTests",usa,"GameManager"
"GlobalLogicTests",usa,"EventBus"
"GlobalLogicTests",usa,"GameLoopReferee"
"GlobalLogicTests",usa,"BulletPool"
"GlobalLogicTests",usa,"Bullet"
"GlobalLogicTests",usa,"LocalNetworkMock"
"GlobalLogicTests",usa,"PlayerModel"
"GlobalLogicTests",usa,"PlayerView"
"GlobalLogicTests",usa,"PlayerController"
"RedesSceneLinker",usa,"HostNetworkService"
"RedesSceneLinker",usa,"PlayerSpawner"
"RedesSceneLinker",usa,"GameFlowController"
"RedesSceneLinker",usa,"MatchController"
"RedesSceneLinker",usa,"PlayerController"
"RedesSceneLinker",usa,"MatchNetworkController"
"RedesSceneLinker",usa,"LobbyView"
"RedesSceneLinker",usa,"GameHudView"
"RedesSceneLinker",usa,"ResultView"
"RedesSceneLinker",usa,"AssetDatabase"
"RedesSceneLinker",usa,"RedesPrefabCreator"
"RedesSceneLinker",usa,"EntityDisplayManager"
"RedesSceneLinker",usa,"EntityDisplayView"
"RedesSceneLinker",usa,"GameEventBus"
"RedesSceneLinker",usa,"PlayerHealth"
"RedesSceneLinker",usa,"PlayerShooting"
"RedesSceneLinker",usa,"AmmoSystem"
"RedesSceneLinker",usa,"PlayerAnimationController"
"RedesSceneLinker",usa,"EditorUtility"
"RedesSceneCreator",usa,"TerrainController"
"RedesSceneCreator",usa,"AssetDatabase"
"RedesSceneCreator",usa,"HostNetworkService"
"RedesSceneCreator",usa,"PlayerSpawner"
"RedesSceneCreator",usa,"MatchNetworkController"
"RedesSceneCreator",usa,"GameFlowController"
"RedesSceneCreator",usa,"MatchController"
"RedesSceneCreator",usa,"PlayerController"
"RedesSceneCreator",usa,"EntityDisplayManager"
"RedesSceneCreator",usa,"VFXManager"
"RedesSceneCreator",usa,"LobbyView"
"RedesSceneCreator",usa,"GameHudView"
"RedesSceneCreator",usa,"ResultView"
"RedesSceneCreator",usa,"RedesPrefabCreator"
"RedesSceneCreator",usa,"RedesSceneLinker"
"RedesPrefabCreator",usa,"AssetDatabase"
"RedesPrefabCreator",usa,"GameEventBus"
"RedesPrefabCreator",usa,"NetworkPlayer"
"RedesPrefabCreator",usa,"PlayerMovement"
"RedesPrefabCreator",usa,"PlayerShooting"
"RedesPrefabCreator",usa,"PlayerHealth"
"RedesPrefabCreator",usa,"AmmoSystem"
"RedesPrefabCreator",usa,"PlayerAnimationController"
"RedesPrefabCreator",usa,"PlayerEventBus"
"RedesPrefabCreator",usa,"Projectile"
"RedesPrefabCreator",usa,"EntityDisplayView"
"RedesBuildAll",usa,"RedesSceneCreator"
"RedesBuildAll",usa,"RedesPrefabCreator"
"RedesBuildAll",usa,"RedesSceneLinker"
"RedesBuildAll",usa,"EditorApplication"
"Projectile",hereda,"NetworkBehaviour"
"Projectile",usa,"GameConstants"
"Projectile",usa,"RedesLog"
"Projectile",usa,"IDamageable"
"Projectile",usa,"NetworkPlayer"
"TerrainController",hereda,"MonoBehaviour"
"TerrainController",usa,"TerrainModel"
"TerrainController",usa,"TerrainView"
"PlayerController",hereda,"MonoBehaviour"
"PlayerController",usa,"GameHudView"
"PlayerController",usa,"PlayerModel"
"PlayerController",usa,"NetworkPlayer"
"PlayerController",usa,"GameConstants"
"MatchController",hereda,"MonoBehaviour"
"MatchController",usa,"ResultView"
"MatchController",usa,"MatchNetworkController"
"MatchController",usa,"MatchResult"
"MatchController",usa,"RedesLog"
"GameFlowController",hereda,"MonoBehaviour"
"GameFlowController",usa,"HostNetworkService"
"GameFlowController",usa,"LobbyView"
"GameFlowController",usa,"GameHudView"
"GameFlowController",usa,"MatchController"
"GameFlowController",usa,"GameStateModel"
"GameFlowController",usa,"INetworkService"
"GameFlowController",usa,"RedesLog"
"GameFlowController",usa,"GameConstants"
"GameFlowController",usa,"GamePhase"
"GameFlowController",usa,"ResultView"
"GameFlowController",usa,"MatchResult"
"EntityDisplayManager",hereda,"MonoBehaviour"
"EntityDisplayManager",usa,"EntityDisplayView"
"EntityDisplayManager",usa,"NetworkPlayer"
"EntityDisplayManager",usa,"IEntityDisplayModel"
"EntityDisplayManager",usa,"RedesLog"
"UnitPathRenderer",hereda,"MonoBehaviour"
"UnitPathRenderer",usa,"UnitController"
"UnitPathRenderer",usa,"UnitFSM"
"UnitPathRenderer",usa,"State"
"UnitModel",hereda,"MonoBehaviour"
"UnitModel",implementa,"IHealth"
"UnitModel",usa,"UnitTeam"
"UnitModel",usa,"UnitSpecialization"
"UnitModel",usa,"Destruible"
"UnitController",hereda,"MonoBehaviour"
"UnitController",implementa,"IDaniable"
"UnitController",implementa,"IDetectable"
"UnitController",usa,"RevivalBarView"
"UnitController",usa,"DamagedState"
"UnitController",usa,"GEN_Inputs"
"UnitController",usa,"SeguirFormacionState"
"UnitController",usa,"AtacarState"
"UnitController",usa,"PerseguirState"
"UnitController",usa,"RevivingState"
"UnitController",hereda,"MonoBehaviour"
"UnitController",implementa,"IDaniable"
"UnitController",implementa,"IDetectable"
"UnitController",usa,"UnitModel"
"UnitController",usa,"UnitView"
"UnitController",usa,"IA_P2_AgentIA"
"UnitController",usa,"Disparador"
"UnitController",usa,"GenericDetector"
"UnitController",usa,"DetectableType"
"UnitController",usa,"UnitTeam"
"UnitController",usa,"Enemigo"
"UnitController",usa,"EsperandoState"
"UnitController",usa,"UnitSpecialization"
"UnitController",usa,"SquadEventBus"
"UnitController",usa,"AtacarState"
"UnitController",usa,"PerseguirState"
"UnitController",usa,"IndicatorType"
"UnitController",usa,"IrADestinoState"
"UnitController",usa,"IUnitState"
"UnitController",usa,"LiderandoState"
"UnitController",usa,"RevivingState"
"UnitController",usa,"GlobalData"
"UnitController",usa,"SeguirFormacionState"
"UnitController",usa,"DamagedState"
"UnitCommander",hereda,"MonoBehaviour"
"UnitCommander",usa,"GEN_Inputs"
"UnitCommander",usa,"LeaderManager"
"UnitCommander",usa,"UnitController"
"UnitCommander",usa,"SeguirFormacionState"
"UnitCommander",usa,"UnitTeam"
"UnitCommander",usa,"IrADestinoState"
"UnitCommander",usa,"EsperandoState"
"UnitCommander",usa,"PerseguirState"
"TickManager",hereda,"MonoBehaviour"
"ShotSensor",hereda,"MonoBehaviour"
"ShotSensor",usa,"UnitController"
"ShotSensor",usa,"Bala"
"RevivingState",implementa,"IUnitState"
"RevivingState",usa,"UnitController"
"RevivingState",usa,"IndicatorType"
"RevivingState",usa,"SeguirFormacionState"
"RevivalSystemSetup",hereda,"MonoBehaviour"
"RevivalBarView",hereda,"MonoBehaviour"
"RevivalBarView",usa,"UnitController"
"RehenBruto",hereda,"MonoBehaviour"
"RehenBruto",usa,"IA_P2_AgentIA"
"RehenBruto",usa,"GlobalData"
"PositionManager",hereda,"MonoBehaviour"
"PositionManager",usa,"GlobalData"
"PositionManager",usa,"UnitController"
"PositionManager",usa,"UnitTeam"
"PositionManager",usa,"EsperandoState"
"PositionManager",usa,"SeguirFormacionState"
"Municion",hereda,"MonoBehaviour"
"Rigidbody2DMovementHandler",hereda,"MonoBehaviour"
"Rigidbody2DMovementHandler",implementa,"IMovementHandler"
"Rigidbody2DMovementHandler",usa,"BD_Audios"
"MovementProxy",usa,"IMovable"
"ShootingProxy",usa,"IAttackable"
"PersecucionEnemigo",hereda,"MonoBehaviour"
"PersecucionEnemigo",usa,"Enemigo"
"IA_P2_BusEvent_Manager",hereda,"MonoBehaviour"
"IA_P2_BusEvent_Manager",usa,"IA_P2_FSM"
"CrearYDestruir",hereda,"MonoBehaviour"
"AutoDestruccionSegura",hereda,"MonoBehaviour"
"Soldado_Anim",hereda,"MonoBehaviour"
"Soldado_Anim",usa,"BD_Audios"
"CambiarOpacidad",hereda,"MonoBehaviour"
"WeaponView",hereda,"MonoBehaviour"
"WeaponView",usa,"CambiarOpacidad"
"WeaponView",usa,"Proyectil"
"WeaponView",usa,"InformacionPersonaje"
"WeaponView",usa,"WeaponModel"
"WeaponView",usa,"Bala"
"WeaponView",usa,"BD_Audios"
"WeaponController",hereda,"MonoBehaviour"
"WeaponController",usa,"WeaponModel"
"WeaponController",usa,"WeaponView"
"WeaponController",usa,"IWeaponInput"
"WeaponController",usa,"WeaponControllerMVC"
"WeaponController",usa,"UnityWeaponInput"
"Proyectil2",hereda,"MonoBehaviour"
"Proyectil",hereda,"MonoBehaviour"
"Proyectil",usa,"Manager_VFX"
"Proyectil",usa,"IDaniable"
"Proyectil",usa,"InformacionPersonaje"
"Proyectil",usa,"Enemigo"
"Cohete",hereda,"MonoBehaviour"
"Cohete",usa,"IDaniable"
"VibracionCamara",hereda,"MonoBehaviour"
"VibracionCamara",usa,"ConfiguracionGlobal"
"UnitFSM",hereda,"MonoBehaviour"
"UnitFSM",usa,"State"
"UnitFSM",usa,"UnitController"
"UnitFSM",usa,"TickManager"
"CambioDeLider",hereda,"MonoBehaviour"
"Weapon",hereda,"MonoBehaviour"
"Weapon",usa,"PlayerModel"
"Weapon",usa,"PlayerView"
"Weapon",usa,"EventBus"
"Weapon",usa,"Bullet"
"Weapon",usa,"BulletPool"
"SimpleEnemyAI",hereda,"MonoBehaviour"
"SimpleEnemyAI",usa,"PlayerModel"
"SimpleEnemyAI",usa,"Weapon"
"SimpleEnemyAI",usa,"PlayerView"
"SimpleEnemyAI",usa,"PlayerController"
"SimpleEnemyAI",usa,"EventBus"
"SimpleAnimator",hereda,"MonoBehaviour"
"ScreenManager",hereda,"MonoBehaviour"
"ScreenManager",usa,"EventBus"
"ScreenManager",usa,"LocalNetworkMock"
"ScreenManager",usa,"RoomData"
"PlayerView",hereda,"MonoBehaviour"
"PlayerView",usa,"PlayerModel"
"PlayerView",usa,"SimpleAnimator"
"PlayerView",usa,"EventBus"
"PlayerView",usa,"ProceduralAudioGenerator"
"PlayerModel",hereda,"MonoBehaviour"
"PlayerModel",usa,"EventBus"
"PlayerController",hereda,"MonoBehaviour"
"PlayerController",usa,"PlayerModel"
"PlayerController",usa,"PlayerView"
"PlayerController",usa,"Weapon"
"PlayerController",usa,"LocalNetworkMock"
"PlayerController",usa,"EventBus"
"LocalNetworkMock",usa,"RoomData"
"ImpactEffect",hereda,"MonoBehaviour"
"GameManager",hereda,"MonoBehaviour"
"GameManager",usa,"EventBus"
"GameManager",usa,"PlayerModel"
"GameManager",usa,"LocalNetworkMock"
"GameManager",usa,"FloatingHealthBar"
"GameLoopReferee",hereda,"MonoBehaviour"
"GameLoopReferee",usa,"PlayerModel"
"GameLoopReferee",usa,"PlayerController"
"GameLoopReferee",usa,"SimpleEnemyAI"
"GameLoopReferee",usa,"GameManager"
"CharacterView",hereda,"MonoBehaviour"
"IA_P2_ST_SearchingState",implementa,"IA_P2_INT_gentState"
"IA_P2_ST_SearchingState",usa,"IA_P2_FSM"
"IA_P2_ST_SearchingState",usa,"AgentState"
"IA_P2_ST_SearchingState",usa,"IA_P2_LineOfSight3D"
"IA_P2_ST_ReturningToPatrolState",implementa,"IA_P2_INT_gentState"
"IA_P2_ST_ReturningToPatrolState",usa,"IA_P2_FSM"
"IA_P2_ST_ReturningToPatrolState",usa,"AgentState"
"IA_P2_ST_PatrolState",implementa,"IA_P2_INT_gentState"
"IA_P2_ST_PatrolState",usa,"IA_P2_FSM"
"IA_P2_ST_PatrolState",usa,"AgentState"
"IA_P2_ST_ChaseState",implementa,"IA_P2_INT_gentState"
"IA_P2_ST_ChaseState",usa,"IA_P2_FSM"
"IA_P2_ST_ChaseState",usa,"AgentState"
"IA_P2_ST_ChaseState",usa,"IA_P2_LineOfSight3D"
"IA_P2_PathfindingManager",usa,"IA_P2_PathNode"
"IA_P2_PathfindingManager",usa,"IA_P2_PathfindingModel"
"IA_P2_PathfindingManager",usa,"FinalPathResult"
"IA_P2_PathfindingManager",usa,"NodeDistance"
"IA_P2_PathfindingManager",usa,"IA_P2_LineOfSight3D"
"IA_P2_PathfindingManager",usa,"AStarResult"
"IA_P2_PathfindingManager",usa,"ThetaStarResult"
"AStarResult",usa,"IA_P2_PathNode"
"NodeDistance",usa,"IA_P2_PathNode"
"IA_P2_INT_gentState",usa,"IA_P2_FSM"
"IA_P2_FSM",hereda,"MonoBehaviour"
"IA_P2_FSM",usa,"IA_P2_AgentIA"
"IA_P2_FSM",usa,"AgentState"
"IA_P2_FSM",usa,"IA_P2_INT_gentState"
"IA_P2_FSM",usa,"IA_P2_FOV"
"IA_P2_FSM",usa,"IA_P2_ST_PatrolState"
"IA_P2_FSM",usa,"IA_P2_ST_ChaseState"
"IA_P2_FSM",usa,"IA_P2_ST_SearchingState"
"IA_P2_FSM",usa,"IA_P2_ST_ReturningToPatrolState"
"IA_P2_FSM",usa,"IA_P2_BusEvent_Manager"
"IA_P2_FOV",hereda,"MonoBehaviour"
"IA_P2_FOV",usa,"IA_P2_LineOfSight3D"
"IA_F_PathFinding_Theta",usa,"IA_P2_LineOfSight3D"
"IA_F_EnemyCercanos",hereda,"MonoBehaviour"
"IA_F_ControllerSeguidor",hereda,"MonoBehaviour"
"IA_F_ControllerSeguidor",usa,"IA_P2_AgentIA"
"IA_F_ControllerSeguidor",usa,"IA_F_EnemyCercanos"
"IA_F_ChangeMode",hereda,"MonoBehaviour"
"IA_F_ChangeMode",usa,"IA_P2_AgentIA"
"IA_F_ChangeMode",usa,"IA_P2_BusEvent_Manager"
"CharacterControllerMVC",usa,"CharacterModel"
"CharacterControllerMVC",usa,"CharacterView"
"CharacterControllerMVC",usa,"ICharacterInput"
"CharacterControllerMVC",usa,"IMovementHandler"
"SelectedSoldierUIFeedback",hereda,"MonoBehaviour"
"SelectedSoldierUIFeedback",usa,"UnitController"
"WeaponModel",hereda,"MonoBehaviour"
"InformacionPersonaje",hereda,"MonoBehaviour"
"InformacionPersonaje",implementa,"IHealth"
"InformacionPersonaje",usa,"WeaponController"
"InformacionPersonaje",usa,"GameManager"
"CharacterModel",hereda,"MonoBehaviour"
"CharacterModel",usa,"InformacionPersonaje"
"Tanque",hereda,"MonoBehaviour"
"Tanque",usa,"Puntero_Tanque"
"Tanque",usa,"Cohete"
"Tanque",usa,"ObjetoColisionado"
"Puntero_Tanque",hereda,"MonoBehaviour"
"Puntero_Tanque",usa,"Tanque"
"PlayerController",hereda,"MonoBehaviour"
"PlayerController",usa,"CharacterModel"
"PlayerController",usa,"CharacterView"
"PlayerController",usa,"Rigidbody2DMovementHandler"
"PlayerController",usa,"ICharacterInput"
"PlayerController",usa,"UnityCharacterInput"
"PlayerController",usa,"BD_Audios"
"EntrarAlTanque",hereda,"MonoBehaviour"
"EntrarAlTanque",usa,"ControladorTanque"
"Enemigo",hereda,"MonoBehaviour"
"Enemigo",usa,"GameManager"
"ControladorTanque",hereda,"MonoBehaviour"
"ControladorTanque",usa,"EntrarAlTanque"
"ControladorTanque",usa,"Proyectil"
"ControladorTanque",usa,"Bala"
"ControladorTanque",usa,"BD_Audios"
"GenericDetector",hereda,"MonoBehaviour"
"GenericDetector",usa,"DetectableType"
"GenericDetector",usa,"IDetectable"
"GameManager",hereda,"MonoBehaviour"
"GameManager",usa,"Enemigo"
"FormationRelocator",hereda,"MonoBehaviour"
"FormationRelocator",usa,"GlobalData"
"EnemyView",hereda,"MonoBehaviour"
"EnemyView",usa,"EnemyModel"
"EnemyModel",hereda,"MonoBehaviour"
"EnemyModel",implementa,"IHealth"
"Disparador",hereda,"MonoBehaviour"
"Disparador",usa,"Manager_VFX"
"Disparador",usa,"BD_Audios"
"Disparador",usa,"BalaPool"
"Disparador",usa,"Bala"
"Destruible",hereda,"MonoBehaviour"
"Destruible",implementa,"IDaniable"
"Destruible",usa,"UnitController"
"DamagedState",implementa,"IUnitState"
"DamagedState",usa,"DamagedStateHandler"
"DamagedState",usa,"UnitController"
"DamagedState",usa,"IDetectable"
"DamagedStateHandler",hereda,"MonoBehaviour"
"DamagedStateHandler",usa,"UnitController"
"CursorManager",hereda,"MonoBehaviour"
"CursorManager",usa,"IInteractable"
"CursorManager",usa,"IDaniable"
"ControlDerrota",hereda,"MonoBehaviour"
"ControlDerrota",usa,"LeaderManager"
"BalaPool",hereda,"MonoBehaviour"
"BalaPool",usa,"Bala"
"Bala",hereda,"MonoBehaviour"
"Bala",implementa,"IDetectable"
"Bala",usa,"DetectableType"
"Bala",usa,"Proyectil"
"Bala",usa,"CursorManager"
"Bala",usa,"IDaniable"
"Bala",usa,"UnitController"
"Bala",usa,"CoroutineHelper"
"Bala",usa,"Manager_VFX"
"Bala",usa,"BD_Audios"
"Bala",usa,"UnitTeam"
"Bala",usa,"BalaPool"
"AmmoManager",hereda,"MonoBehaviour"
"AmmoManager",usa,"UnitController"
"AmmoManager",usa,"UnitModel"
"PlayerShooting",hereda,"NetworkBehaviour"
"PlayerShooting",usa,"AmmoSystem"
"PlayerShooting",usa,"GameEventBus"
"PlayerShooting",usa,"GameConstants"
"PlayerShooting",usa,"PlayerEventBus"
"PlayerShooting",usa,"Projectile"
"PlayerShooting",usa,"RedesLog"
"PlayerMovement",hereda,"NetworkBehaviour"
"PlayerMovement",usa,"GameConstants"
"PlayerMovement",usa,"PlayerEventBus"
"PlayerMovement",usa,"NetworkInputData"
"PlayerHealth",hereda,"NetworkBehaviour"
"PlayerHealth",implementa,"IDamageable"
"PlayerHealth",usa,"GameConstants"
"PlayerHealth",usa,"GameEventBus"
"PlayerHealth",usa,"PlayerEventBus"
"PlayerHealth",usa,"RedesLog"
"PlayerHealth",usa,"VFXManager"
"PlayerEventBus",hereda,"MonoBehaviour"
"PlayerAnimationController",hereda,"NetworkBehaviour"
"PlayerAnimationController",usa,"PlayerMovement"
"PlayerAnimationController",usa,"PlayerHealth"
"PlayerAnimationController",usa,"PlayerShooting"
"PlayerAnimationController",usa,"VFXManager"
"NetworkPlayer",hereda,"NetworkBehaviour"
"NetworkPlayer",implementa,"IEntityDisplayModel"
"NetworkPlayer",usa,"GameConstants"
"NetworkPlayer",usa,"RedesLog"
"NetworkPlayer",usa,"PlayerMovement"
"NetworkPlayer",usa,"PlayerShooting"
"NetworkPlayer",usa,"PlayerHealth"
"NetworkPlayer",usa,"AmmoSystem"
"NetworkPlayer",usa,"PlayerAnimationController"
"NetworkPlayer",usa,"PlayerEventBus"
"NetworkPlayer",usa,"GameFlowController"
"NetworkPlayer",usa,"PlayerController"
"NetworkPlayer",usa,"NetworkInputData"
"NetworkPlayer",usa,"InputButton"
"AmmoSystem",hereda,"NetworkBehaviour"
"AmmoSystem",usa,"GameConstants"
"AmmoSystem",usa,"GameEventBus"
"AmmoSystem",usa,"PlayerEventBus"
"AmmoSystem",usa,"RedesLog"
"VFXManager",hereda,"MonoBehaviour"
"TerrainView",hereda,"MonoBehaviour"
"ResultView",hereda,"MonoBehaviour"
"ResultView",usa,"MatchResult"
"ResultView",usa,"RedesLog"
"LobbyView",hereda,"MonoBehaviour"
"LobbyView",usa,"GameConstants"
"LobbyView",usa,"RedesLog"
"GameHudView",hereda,"MonoBehaviour"
"EntityDisplayView",hereda,"MonoBehaviour"
"TriggerEventAndDestroy",hereda,"MonoBehaviour"
"MenuPausa",hereda,"MonoBehaviour"
"MarkerAnim",hereda,"MonoBehaviour"
"Manager_VFX",hereda,"MonoBehaviour"
"MainGameController",hereda,"MonoBehaviour"
"MainGameController",usa,"LeaderManager"
"MainGameController",usa,"GlobalData"
"MainGameController",usa,"UnitModel"
"MainGameController",usa,"UnitSpecialization"
"MainGameController",usa,"UnitFSM"
"LiderandoState",implementa,"IUnitState"
